title,location,startDate,website,categories,scrapedAt
"Vitosha Classic 2025 Online  Qualifier","Online competition","Mon Jan 05 2026 00:00:00 GMT-0600 (Central Standard Time)","N/A","0","2025-01-06T00:16:31.419Z"
"The League of Legends  25","Online competition","Tue Jan 06 2026 00:00:00 GMT-0600 (Central Standard Time)","N/A","6","2025-01-06T00:16:31.420Z"
